자치구,브랜드,지점명,소재지,latitude,longitude
강서구,GS25,,서울 강서구 방화동 559-5,37.5724667,126.810024
강서구,GS25,,"서울 강서구 강서로47길 108,  102호(내발산동 742, 수명산파크1단지)",37.5543776,126.8302062
강서구,GS25,,서울 강서구 강서로8길 200 (화곡4동 791-12),37.5309242,126.8593352
강서구,GS25,,"서울 강서구 가로공원로 188, 1층 (화곡1동 372-2)",37.536874,126.8369271
강서구,GS25,,"서울 강서구 곰달래로49길 112, 1층 (화곡4동 465-8)",37.5360565,126.8550914
강서구,GS25,,서울 강서구 화곡동 981-15 1층,37.549686,126.8484911
강서구,GS25,,"서울 강서구 강서로18바길 2,  101호(화곡8동 155-28, 다솜하우스)",37.5352234,126.850161
강서구,GS25,,서울 강서구 화곡동 404-6 1층,37.5389261,126.8426088
강서구,GS25,,"서울 강서구 가로공원로76길 100, 1층(화곡1동 359-54)",37.5328129,126.8388239
강서구,GS25,,서울 강서구 화곡동 1098-9 1층,37.5532905,126.849979
강서구,GS25,,서울 강서구 화곡동 504-87 지층,37.5372066,126.8593867
강서구,GS25,,"서울 강서구 양천로6길 57, 상가동 101호 (방화2동 874, e편한세상아파트)",37.5700999,126.8081827
강서구,GS25,,"서울 강서구 양천로 401, A동 103호 (가양동 1498, 강서한강자이타워)",37.5678802,126.8510787
강서구,GS25,,"서울 강서구 방화대로6라길 26, 1층 (공항동 1349)",37.5561559,126.8185154
강서구,미니스톱,,서울특별시 강서구 화곡동(화곡1동) 898-1,37.5323421,126.8391507
강서구,미니스톱,,서울특별시 강서구 화곡동(화곡1동) 902-10,37.5323421,126.8391507
강서구,미니스톱,,서울특별시 강서구 화곡동(화곡본동) 98-253,37.5412865,126.8449375
강서구,세븐일레븐,,등촌동366-137,37.5491945,126.8605995
강서구,세븐일레븐,,등촌동696-1 새한프라자101호,37.5599229,126.845536
강서구,세븐일레븐,,공항동 1354-6,37.5550547,126.8168292
강서구,세븐일레븐,,"방화3동 831번지 105,106호",37.5770005,126.8146637
강서구,세븐일레븐,,방화동 830,37.57818880000001,126.8133025
강서구,세븐일레븐,,화곡동55-88,37.54090950000001,126.8484854
강서구,세븐일레븐,,서울특별시 강서구 화곡동 70-33,37.5450837,126.8450903
강서구,세븐일레븐,,화곡동353-1,37.5342984,126.8429432
강서구,세븐일레븐,,서울시 강서구 등촌동 683번지 ,37.5662195,126.8415546
강서구,세븐일레븐,,서울시 강서구 공항대로 41길 76 104호,37.5609419,126.8468399
강서구,GS25,,서울시 강서구 곰달래로88 ,37.5301428,126.8426318
강서구,GS25,,서울시 강서구 곰달래로16길 29,37.5287483,126.840403
강서구,GS25,,서울시 강서구 월정로 112 ,37.5291574,126.8390226
강서구,GS25,,서울시 강서구 강서로5나길 90 ,37.528538,126.8431904
강서구,GS25,,서울시 강서구 강서로17길 29,37.5325771,126.8441886
강서구,CU,,서울시 강서구 강서로7길 107,37.5288501,126.8419344
강서구,CU,,서울시 강서구 월정로 102,37.5283728,126.8395497
강서구,CU,,서울시 강서구 가로공원로84길 82,37.534131,126.841927
강서구,세븐일레븐,,서울시 강서구 월정로 116,37.5295671,126.8387897
강서구,세븐일레븐,,서울시 강서구 가로공원로76가길 76,37.5342984,126.8429432
강서구,세븐일레븐,,서울시 강서구 강서로17다길 2,37.5332789,126.8420731
구로구,CU,고척리가점,서울특별시 구로구 고척동 41-3번지,37.50690030000001,126.8626025
구로구,CU,구로포스큐,서울시 구로구 공원로11(구로동)1층 102호,37.4981728,126.8919851
구로구,CU,오류현대점,서울특별시 구로구 오류동 46-1번지 이좋은집,37.4949392,126.8420705
구로구,CU,한신IT타워점,서울특별시 구로구 구로동 235번지,37.4824969,126.8944527
구로구,CU,구로파트너점,서울특별시 구로구 구로동1128-3번지,37.4828932,126.8986621
구로구,CU,구로희망점,서울특별시 구로구 구로동197-13번지 이앤씨벤처드림타워5차,37.4855464,126.892519
구로구,CU,신세계I&C점,서울특별시 구로구 구로동197-12번지,37.4858893,126.8916385
구로구,GS25,고척세곡,서울 구로구 고척로33길 60 (고척2동 241-129),37.5052519,126.8480338
구로구,GS25,구로W타워,서울 구로구 구로동 615-3 STX-W타워 103호,37.5046472,126.875147
구로구,GS25,구로가리봉,서울 구로구 우마길 1 (가리봉동 122-21),37.4825719,126.8875582
구로구,GS25,구로개봉,서울 구로구 고척로19길 16(개봉1동 62-19),37.501978,126.8453409
구로구,GS25,구로문성,"서울 구로구 디지털로32가길 72, 101호 (구로3동 1129-18)",37.4805581,126.896992
구로구,GS25,구로미성,서울 구로구 신도림동 399 기임빌딩 101,37.5060959,126.87662
구로구,GS25,구로제일,서울 구로구 구로동 685-215 상가동 103,37.4920189,126.8758039
구로구,GS25,구로현대,서울 구로구 신도림동 641 1층 (現현대마트),37.5119718,126.8842545
구로구,GS25,신도림,서울 구로구 공원로6가길 52(구로5동 33-1),37.5036724,126.8900983
구로구,GS25,오류행운,서울 구로구 경인로15길 80-4 (오류1동 4-1),37.4972147,126.8370159
구로구,GS25,구로지벨리몰점,서울 구로구 디지털로 300 (구로3동 188-25),37.4848943,126.8965401
구로구,GS25,디큐브시티,"서울 구로구 경인로 662, 지하1층 편의점",37.5085845,126.8888977
구로구,GS25,구로사랑,"서울 구로구 경인로 661, 154호",37.5094204,126.8877437
구로구,GS25,구로이편한점,"서울 구로구 신도림로 16,  101호(신도림동 642, 대림2차)",37.5058446,126.8805908
구로구,GS25,구로경인점,"서울 구로구 경인로35길 38, 1층 (개봉동 149-20)",37.4989175,126.8543353
구로구,GS25,구로아울렛,"서울 구로구 경인로43길 18, 1층",37.4974369,126.8620958
구로구,GS25,개봉으뜸,"서울 구로구 경인로40길 41, 107호",37.4951454,126.8590741
구로구,GS25,구로미래,"서울 구로구 경인로 661, 1104호",37.5094204,126.8877437
구로구,GS25,고척,서울 구로구 경인로47길 10,37.5001718,126.8671812
구로구,미니스톱,천왕역점,서울특별시 구로구 오류동(오류2동) 183-8,37.4875869,126.8388101
구로구,미니스톱,구로구청점,서울특별시 구로구 구로동(구로2동) 84,37.4942566,126.8846869
구로구,미니스톱,구로공단역점,서울특별시 구로구 구로동(구로3동) 1124-44,37.4850442,126.8948988
