소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,설치연도,구
서울특별시 성북구 성북로8길 14,서울특별시 성북구 성북동 183-4,37.59106819,127.0045489,2012,성북구
서울특별시 성북구 창경궁로 316,서울특별시 성북구 삼선동1가 3,37.58766154,127.0046829,2012,성북구
서울특별시 성북구 삼선교로14길 23,서울특별시 성북구 삼선동2가 137,37.58715392,127.0102805,2012,성북구
서울특별시 성북구 종암로24길 14,서울특별시 성북구 종암동 3-82,37.60065692,127.0347381,2012,성북구
서울특별시 성북구 동소문로 225-3,서울특별시 성북구 길음동 877-183,37.60211602,127.0218425,2012,성북구
서울특별시 성북구 솔샘로6가길 28,서울특별시 성북구 정릉동 685-5,37.61009341,127.0067784,2012,성북구
서울특별시 성북구 보국문로20길 49-1,서울특별시 성북구 정릉동 260-110,37.61348093,127.0095683,2012,성북구
서울특별시 성북구 동소문로 225-7,서울특별시 성북구 장위동 166-3,37.62131652,127.0510157,2012,성북구
서울특별시 성북구 동소문로42가길 18,서울특별시 성북구 하월곡동 88-142,37.60554543,127.0290688,2012,성북구
서울특별시 성북구 화랑로13길 60,서울특별시 성북구 상월곡동 86-5,37.60681402,127.0411781,2012,성북구
서울특별시 성북구 장위로31길 17,서울특별시 성북구 장위동 232-61,37.61453761,127.0474572,2012,성북구
서울특별시 성북구 장위로24길 36-12,서울특별시 성북구 장위동 233-638,37.61228022,127.0439718,2012,성북구
서울특별시 성북구 돌곶이로26길 12,서울특별시 성북구 장위동 63-117,37.6116548,127.0569328,2012,성북구
서울특별시 성북구 화랑로40길 36-13,서울특별시 성북구 석관동 130-7,37.61278291,127.0638198,2012,성북구
서울특별시 성북구 화랑로24길 28,서울특별시 성북구 석관동 340-384,37.60729346,127.0531332,2012,성북구
서울특별시 성북구 월계로 90,서울특별시 성북구 장위동 231-193,37.61388589,127.0384818,2016,성북구
서울특별시 성북구 삼양로 61-1,서울특별시 성북구 길음동 1222,37.60851284,127.0229271,2013,성북구
서울특별시 성북구 삼양로 75,서울특별시 성북구 길음동 1170,37.60980674,127.0225688,2013,성북구
서울특별시 성북구 삼양로9길 10-27,서울특별시 성북구 길음동 1173,37.60964827,127.0219999,2013,성북구
서울특별시 성북구 삼양로9길 21,서울특별시 성북구 길음동 1191,37.60821029,127.0219757,2013,성북구
서울특별시 성북구 삼양로9길 14-3,서울특별시 성북구 길음동 1178-2,37.60863194,127.0220704,2013,성북구
서울특별시 성북구 삼양로9길 9-2,서울특별시 성북구 길음동 1211,37.60835437,127.0223505,2013,성북구
서울특별시 성북구 삼양로9길 18,서울특별시 성북구 길음동 1179,37.60855354,127.0220981,2013,성북구
서울특별시 성북구 정릉로6길 37,서울특별시 성북구 정릉동 957-3,37.61029529,126.9944249,2016,성북구
서울특별시 성북구 정릉로10길 44,서울특별시 성북구 정릉동 895-3,37.60793483,126.999248,2016,성북구
서울특별시 성북구 정릉로9다길 15,서울특별시 성북구 정릉동 843-6,37.61254248,126.9991619,2016,성북구
서울특별시 성북구 보국문로29마길 11,서울특별시 성북구 정릉동 839-23,37.61432464,126.9997961,2016,성북구
서울특별시 성북구 정릉로9가길 6,서울특별시 성북구 정릉동 885-6,37.60974762,126.9996149,2016,성북구
서울특별시 성북구 보국문로29가길 24,서울특별시 성북구 정릉동 768-13,37.61542382,127.0026232,2016,성북구
서울특별시 성북구 정릉동 300-5,서울특별시 성북구 정릉동 300-5,37.61147678,127.0082933,2016,성북구
서울특별시 성북구 서경로21길 35,서울특별시 성북구 정릉동 266-477,37.61141335,127.012481,2016,성북구
서울특별시 성북구 길음로 33,서울특별시 성북구 길음동 1284-19,37.60504961,127.0220129,2016,성북구
서울특별시 성북구 길음로 33,서울특별시 성북구 길음동 1284-17,37.60504961,127.022011,2016,성북구
서울특별시 성북구 동소문로42가길 41,서울특별시 성북구 하월곡동 88-786,37.60567988,127.0301968,2016,성북구
서울특별시 성북구 장위로16길 35,서울특별시 성북구 장위동 231-131,37.61261637,127.0412493,2016,성북구
서울특별시 성북구 삼양로4길 11,서울특별시 성북구 길음동 1086-1,37.60603297,127.0246523,2016,성북구
서울특별시 성북구 솔샘로5길 92,서울특별시 성북구 정릉동 산1-293,37.61120361,127.0012322,2009,성북구
서울특별시 성북구 종암로19다길 18,서울특별시 성북구 종암동 125-40,37.59940444,127.0283779,2016,성북구
서울특별시 성북구 종암로19가길 20,서울특별시 성북구 종암동 62-31,37.59849569,127.0306169,2016,성북구
서울특별시 성북구 종암로8길 27,서울특별시 성북구 종암동 8-204,37.59560696,127.0373944,2016,성북구
서울특별시 성북구 월곡로13길 17-8,서울특별시 성북구 종암동 112-13,37.60060901,127.0394851,2016,성북구
서울특별시 성북구 오패산로5길 14,서울특별시 성북구 하월곡동 70-121,37.60466029,127.0368237,2016,성북구
서울특별시 성북구 종암로36길 34,서울특별시 성북구 하월곡동 90-1208,37.60586814,127.0334585,2016,성북구
서울특별시 성북구 오패산로 89,서울특별시 성북구 하월곡동 80-2,37.61009561,127.0350369,2016,성북구
