사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
2번출구노래밤,서울특별시 은평구 대조동 179-49 (지하1층),"서울특별시 은평구 서오릉로 72 (대조동,(지하1층))",서울특별시 은평구 대조동 179-49,37.5999028,126.9223109,은평구
엑스라지,서울특별시 종로구 묘동 148-1번지 지하1층,"서울특별시 종로구 돈화문로 59 (묘동,지하1층)",서울특별시 종로구 묘동 148-1,37.6169782,126.9207482,종로구
7080아지트,서울특별시 종로구 종로6가 242-1번지 한덕빌딩 지하1층 08호,"서울특별시 종로구 종로41길 25, 지하1층 8호 (종로6가, 한덕빌딩)",서울특별시 종로구 종로6가 242-1,37.5214292,126.9306415,종로구
스타 노래밤,서울특별시 종로구 창신동 510 2층,"서울특별시 종로구 종로 308-1, 2층 (창신동)",서울특별시 종로구 창신동 510,37.6156192,126.9185983,종로구
오예,서울특별시 종로구 종로5가 116번지 지하1층,"서울특별시 종로구 종로31길 16, 지하1층 (종로5가)",서울특별시 종로구 종로5가 116,37.6183111,126.9206513,종로구
뉴키즈 노래주점,서울특별시 종로구 창신동 439-1번지 2층,"서울특별시 종로구 종로46길 28, 2층 (창신동)",서울특별시 종로구 창신동 439-1,37.6080781,126.9203098,종로구
씩(SeeK),서울특별시 종로구 낙원동 121-1,"서울특별시 종로구 돈화문로11길 30, 5층 (낙원동)",서울특별시 종로구 낙원동 121-1,37.5886542,126.9143996,종로구
짱,서울특별시 은평구 불광동 494 495번지,"서울특별시 은평구 통일로 928 (불광동,495번지)",서울특별시 은평구 불광동 494,37.5940275,126.9163102,은평구
나그랑,서울특별시 종로구 신문로1가 31-0번지,서울특별시 종로구 새문안로 87 (신문로1가),서울특별시 종로구 신문로1가 31-0,37.5334525,126.9033463,종로구
우리,서울특별시 서초구 서초동 1624-9,서울특별시 서초구 서초중앙로12길 3 (서초동),서울특별시 서초구 서초동 1624-9,37.6091941,126.927533,서초구
블루 노래밤,서울특별시 은평구 녹번동 131-77 (지층),"서울특별시 은평구 진흥로 168 (녹번동,(지층))",서울특별시 은평구 녹번동 131-77,37.5940042,126.9164647,은평구
블루 7090 라이브,서울특별시 종로구 창신동 463-1 지하1층,"서울특별시 종로구 종로46길 11, 지하1층 (창신동)",서울특별시 종로구 창신동 463-1,37.6106339,126.9309866,종로구
HOT(에이치오티),서울특별시 종로구 돈의동 46-1번지,"서울특별시 종로구 돈화문로11길 12, 2층 (돈의동)",서울특별시 종로구 돈의동 46-1,37.6197187,126.919464,종로구
동대문연가,서울특별시 종로구 창신동 207 지하1층,"서울특별시 종로구 종로 327, 지하1층 (창신동)",서울특별시 종로구 창신동 207,37.6034677,126.9250831,종로구
태양노래팡단란주점,서울특별시 은평구 대조동 219-6 지하1층,"서울특별시 은평구 연서로 198, 지하1층 (대조동)",서울특별시 은평구 대조동 219-6,37.610829,126.9313397,은평구
아마존,서울특별시 은평구 응암동 109-1번지 지층,"서울특별시 은평구 응암로 323 (응암동,지층)",서울특별시 은평구 응암동 109-1,37.5942615,126.9178361,은평구
냥코 뮤직타운,서울특별시 종로구 관철동 18-13 지상5층,"서울특별시 종로구 우정국로2길 43 (관철동,지상5층)",서울특별시 종로구 관철동 18-13,37.6236041,126.9195651,종로구
티파니,서울특별시 영등포구 당산동3가 222-0 지하1층,"서울특별시 영등포구 당산로32길 7 (당산동3가, 지하1층)",서울특별시 영등포구 당산동3가 222-0,37.5937687,126.9177028,영등포구
하트노래,서울특별시 영등포구 당산동1가 40-2번지 지하1층,"서울특별시 영등포구 영등포로 129 (당산동1가, 지하1층)",서울특별시 영등포구 당산동1가 40-2,37.5889941,126.9145741,영등포구
산보,서울특별시 영등포구 여의도동 44-35번지,"서울특별시 영등포구 여의대방로 379 (여의도동, 제일빌딩212호)",서울특별시 영등포구 여의도동 44-35,37.6015523,126.9263123,영등포구
수노래바,서울특별시 은평구 응암동 103-35 (지1층),"서울특별시 은평구 응암로 324 (응암동,(지1층))",서울특별시 은평구 응암동 103-35,37.5944209,126.9155917,은평구
린 노래밤,서울특별시 은평구 대조동 196-20,서울특별시 은평구 연서로26길 9-1 (대조동),서울특별시 은평구 대조동 196-20,37.5233133,126.8845123,은평구
딥(dip),서울특별시 영등포구 여의도동 43-0 미원빌딩 302호,"서울특별시 영등포구 국제금융로 70, 302호 (여의도동,미원빌딩)",서울특별시 영등포구 여의도동 43-0,37.5226371,126.8917006,영등포구
윈저,서울특별시 은평구 대조동 219-27번지,서울특별시 은평구 연서로 190-1 (대조동),서울특별시 은평구 대조동 219-27,37.4919654,127.0116243,은평구
쏠,서울특별시 은평구 대조동 185-54,"서울특별시 은평구 연서로28길 3, 2층 52.53호 (대조동)",서울특별시 은평구 대조동 185-54,37.496385,126.8995804,은평구
나의20년,서울특별시 은평구 역촌동 14-10 지층,"서울특별시 은평구 역말로 100 (역촌동,지층)",서울특별시 은평구 역촌동 14-10,37.5262857,126.8975402,은평구
파티파티,서울특별시 은평구 응암동 592-72 B1층,"서울특별시 은평구 응암로13길 27, B1층 (응암동)",서울특별시 은평구 응암동 592-72,37.5201392,126.9059868,은평구
또오리,서울특별시 은평구 응암동 579-40 (지하1층),"서울특별시 은평구 응암로21길 11-12 (응암동,(지하1층))",서울특별시 은평구 응암동 579-40,37.50027559999999,127.0253266,은평구
모나코,서울특별시 영등포구 당산동6가 233번지 지하1층,"서울특별시 영등포구 양평로 28 (당산동6가, 지하1층)",서울특별시 영등포구 당산동6가 233,37.521454,126.925069,영등포구
맨하튼,서울특별시 은평구 대조동 14-65,서울특별시 은평구 불광로 6 (대조동),서울특별시 은평구 대조동 14-65,37.5722367,126.988139,은평구
나고야,서울특별시 은평구 응암동 579-42번지 (지층),"서울특별시 은평구 응암로21길 13 (응암동,(지층))",서울특별시 은평구 응암동 579-42,37.5248682,126.8971385,은평구
유람선,서울특별시 은평구 불광동 281-67번지,서울특별시 은평구 통일로66길 7 (불광동),서울특별시 은평구 불광동 281-67,37.4971756,126.9163289,은평구
크림노래밤,서울특별시 은평구 갈현동 400-12 지층,"서울특별시 은평구 연서로29길 14-17 (갈현동, 지층)",서울특별시 은평구 갈현동 400-12,37.4962961,126.9026277,은평구
쉘부르,서울특별시 은평구 녹번동 155-1번지 (지층),"서울특별시 은평구 서오릉로 29 (녹번동,(지층))",서울특별시 은평구 녹번동 155-1,37.5265216,126.8972468,은평구
골목,서울특별시 은평구 불광동 281-52번지,서울특별시 은평구 통일로66길 11 (불광동),서울특별시 은평구 불광동 281-52,37.4925481,127.0110105,은평구
카네기라이브,서울특별시 은평구 응암동 124-17 (지하1층),"서울특별시 은평구 응암로 247 (응암동,(지하1층))",서울특별시 은평구 응암동 124-17,37.5214292,126.9306415,은평구
노부사,서울특별시 은평구 갈현동 392-7 지하1층,"서울특별시 은평구 통일로 903 (갈현동, 지하1층)",서울특별시 은평구 갈현동 392-7,37.5045428,126.9218077,은평구
대서양,서울특별시 은평구 응암동 578-96 지하1층,"서울특별시 은평구 응암로21길 1, 지하1층 (응암동)",서울특별시 은평구 응암동 578-96,37.5690528,126.9682342,은평구
퓨전스탠드바,서울특별시 은평구 응암동 591-10 (지하1층),"서울특별시 은평구 응암로13길 24 (응암동,(지하1층))",서울특별시 은평구 응암동 591-10,37.5726802,126.9903727,은평구
축제 라이브,서울특별시 은평구 응암동 84-9 지층,"서울특별시 은평구 은평로 169 (응암동,지층)",서울특별시 은평구 응암동 84-9,37.5728967,126.9887224,은평구
리더스,서울특별시 은평구 응암동 126-39 지층,"서울특별시 은평구 응암로21길 22-1 (응암동, 지층)",서울특별시 은평구 응암동 126-39,37.5282791,126.9070218,은평구
비타민단란주점,서울특별시 영등포구 양평동2가 29-4,서울특별시 영등포구 영등포로 25 (양평동2가),서울특별시 영등포구 양평동2가 29-4,37.5140584,126.9079774,영등포구
